success type,attribution_method,SearchMatchType,SearchCategory,RecordType,CampaignMap,ActivitySubType,CampaignMapSearch,Site,CampaignType,Channel,contribution
build0, last_event,  ,  , Display Click, Kuga Sustain, ,  , united internet media, Brand, Previous Site Activity, 114.0
build0, last_event, Exact, Generic, Search Click,  , , Fleet Allrad, DART Search : Google,  , Previous Site Activity, 35.0
testd00, attributed, Broad, Brand, Search Click,  , , Generisch, DART Search : Google,  , Previous Site Activity, 19.3335776091
build004, attributed,  ,  , Impression, Retail January, ,  , OMS DE, Retail, Previous Site Activity, 15.8114380272
testd00, last_event, Exact, Brand, Search Click,  , , Handler, DART Search : Google,  , Previous Site Activity, 20.0
build004, last_event,  ,  , Display Click, Fleet Allrad, ,  , Light Reaction, Retail, Previous Site Activity, 1.0
build0, attributed,  ,  , Impression, Kuga Sustain, ,  , Bauer Media, Brand, Previous Site Activity, 1853.17818033
build0, attributed,  ,  , Impression, Smax, ,  , G+J Electric Media Sales GmbH, Brand, Previous Site Activity, 88.3717666443
testd00, attributed,  ,  , Impression, UNKNOWN, ,  , AutoScout24 Media, UNKNOWN, Previous Site Activity, 1.50002191201
testd00, attributed,  ,  , Impression, Retail February, ,  , Mobile.de, Retail, Previous Site Activity, 19.9903405148
build0, last_event,  ,  , Impression, Retail February, ,  , OMS DE, Retail, Previous Site Activity, 154.0
build004, last_event,  ,  , Display Click, Smax, ,  , Plista, Brand, Previous Site Activity, 3.0
testd00, last_event, Broad, Commerce, Search Click,  , , Other Campaign, DART Search : Google,  , Previous Site Activity, 4.0
testd00, last_event,  ,  , Impression, Fleet Allrad, ,  , EMC, Retail, Previous Site Activity, 1.0
build0, attributed, Broad, Name Plate, Search Click,  , , Ka, DART Search : Google,  , Previous Site Activity, 1116.99878433
build0, last_event,  ,  , Impression, Retail Sales, ,  , Mobile.de, Retail, Previous Site Activity, 3757.0
testd00, last_event, Broad, Name Plate, Search Click,  , , Kuga Sustain, DART Search : Google,  , Previous Site Activity, 50.0
build0, last_event,  ,  , Display Click, Fleet February, ,  , Light Reaction, Retail, Previous Site Activity, 45.0
build004, last_event, Exact, Commerce, Search Click,  , , Fleet Lease, DART Search : Google,  , Previous Site Activity, 9.0
testd00, attributed,  ,  , Display Click, Retail Sales, ,  , Mobile.de, Retail, Previous Site Activity, 2.31718612223
